transcripts,confidence,tokens
13,Fern is the last male in his 50s five foot nine eight to nine hundred and fifty pounds wearing a tattered blue and black clothing his people see what they small gonna hit which was it puts his head he left moving on walking on 54th not welcoming 2015 units and on the 221 subject that was seen 10 ago in the area of mission itself and if you do have some units responding,0.8841304183006287,"['fern', 'is', 'the', 'last', 'male', 'in', 'his', '50s', 'five', 'foot', 'nine', 'eight', 'to', 'nine', 'hundred', 'and', 'fifty', 'pounds', 'wearing', 'a', 'tattered', 'blue', 'and', 'black', 'clothing', 'his', 'people', 'see', 'what', 'they', 'small', 'gonna', 'hit', 'which', 'was', 'it', 'puts', 'his', 'head', 'he', 'left', 'moving', 'on', 'walking', 'on', '54th', 'not', 'welcoming', '2015', 'units', 'and', 'on', 'the', '221', 'subject', 'that', 'was', 'seen', '10', 'ago', 'in', 'the', 'area', 'of', 'mission', 'itself', 'and', 'if', 'you', 'do', 'have', 'some', 'units', 'responding']"
14,10th one acquires haters out there might be diffused three out of there are two 330 so on the first one into your exist and visit market and the,0.8595979809761047,"['10th', 'one', 'acquires', 'haters', 'out', 'there', 'might', 'be', 'diffused', 'three', 'out', 'of', 'there', 'are', 'two', '330', 'so', 'on', 'the', 'first', 'one', 'into', 'your', 'exist', 'and', 'visit', 'market', 'and', 'the']"
15,document able to see the other subject are about 6 8 Ledyard for crowded around the male with the pipe,0.7951128482818604,"['document', 'able', 'to', 'see', 'the', 'other', 'subject', 'are', 'about', '6', '8', 'ledyard', 'for', 'crowded', 'around', 'the', 'male', 'with', 'the', 'pipe']"
16,Lassen cast 6-5 on again a fighting stance regarding teachers demonstrate against the assembly bill on,0.8369038105010986,"['lassen', 'cast', '6-5', 'on', 'again', 'a', 'fighting', 'stance', 'regarding', 'teachers', 'demonstrate', 'against', 'the', 'assembly', 'bill', 'on']"
17,Acme on its premium High ceilings old black jacket black pants like shorts and he painted by 103,0.7601922750473022,"['acme', 'on', 'its', 'premium', 'high', 'ceilings', 'old', 'black', 'jacket', 'black', 'pants', 'like', 'shorts', 'and', 'he', 'painted', 'by', '103']"
18,Cole Madam yeah well it looks like you put it on the wrong call can you put aside for,0.827634334564209,"['cole', 'madam', 'yeah', 'well', 'it', 'looks', 'like', 'you', 'put', 'it', 'on', 'the', 'wrong', 'call', 'can', 'you', 'put', 'aside', 'for']"
19,High tax rate 5 drunk and it's your time to shine Drummond of the 400 block of Turk,0.6999048888683319,"['high', 'tax', 'rate', '5', 'drunk', 'and', ""it's"", 'your', 'time', 'to', 'shine', 'drummond', 'of', 'the', '400', 'block', 'of', 'turk']"
20,done with one of them copies under their Authority copy on once they're not on the their trucks are not on foot or anything like that so,0.7999957799911499,"['done', 'with', 'one', 'of', 'them', 'copies', 'under', 'their', 'authority', 'copy', 'on', 'once', ""they're"", 'not', 'on', 'the', 'their', 'trucks', 'are', 'not', 'on', 'foot', 'or', 'anything', 'like', 'that', 'so']"
21,Del 1830 the market til 1830 hours of work by the truckload,0.7356884479522705,"['del', '1830', 'the', 'market', 'til', '1830', 'hours', 'of', 'work', 'by', 'the', 'truckload']"
22,Temple 77357 aside we're less than three seven one one Civic definitely don't fix left,0.7273152470588684,"['temple', '77357', 'aside', ""we're"", 'less', 'than', 'three', 'seven', 'one', 'one', 'civic', 'definitely', ""don't"", 'fix', 'left']"
23,you know you can go ahead and just make it a 909 this shop owner had their Windows broken out earlier I think another unit is taking paper on it,0.8773742318153381,"['you', 'know', 'you', 'can', 'go', 'ahead', 'and', 'just', 'make', 'it', 'a', '909', 'this', 'shop', 'owner', 'had', 'their', 'windows', 'broken', 'out', 'earlier', 'i', 'think', 'another', 'unit', 'is', 'taking', 'paper', 'on', 'it']"
24,Detroit UT elbow against a towards 12,0.7722015976905823,"['detroit', 'ut', 'elbow', 'against', 'a', 'towards', '12']"
25,all that word regarding a carjacking vehicle the fact is the last male 80 years old hike in a hundred and fifty pounds armed with a 3 inch pocket knife suspects,0.8676429390907288,"['all', 'that', 'word', 'regarding', 'a', 'carjacking', 'vehicle', 'the', 'fact', 'is', 'the', 'last', 'male', '80', 'years', 'old', 'hike', 'in', 'a', 'hundred', 'and', 'fifty', 'pounds', 'armed', 'with', 'a', '3', 'inch', 'pocket', 'knife', 'suspects']"
26,and for resellers Cat 1 5 1 6 / 15 under 40 bucks word Charlie,0.7083657383918762,"['and', 'for', 'resellers', 'cat', '1', '5', '1', '6', '/', '15', 'under', '40', 'bucks', 'word', 'charlie']"
27,nothing is clear for logic instead of 601 event in spirit and because once they're from the last one 601 two five one three minutes out of every 7 p.m. 7 step guide their last night of three seven nine five specific him six last night a three step 9,0.8678074479103088,"['nothing', 'is', 'clear', 'for', 'logic', 'instead', 'of', '601', 'event', 'in', 'spirit', 'and', 'because', 'once', ""they're"", 'from', 'the', 'last', 'one', '601', 'two', 'five', 'one', 'three', 'minutes', 'out', 'of', 'every', '7', 'p.m.', '7', 'step', 'guide', 'their', 'last', 'night', 'of', 'three', 'seven', 'nine', 'five', 'specific', 'him', 'six', 'last', 'night', 'a', 'three', 'step', '9']"
28,Moses 30 at Union Square on the 903 but can you actually put me at the 31 I can give you my a number stated you know I don't ever I'll just logging on here at Union Square,0.7437112331390381,"['moses', '30', 'at', 'union', 'square', 'on', 'the', '903', 'but', 'can', 'you', 'actually', 'put', 'me', 'at', 'the', '31', 'i', 'can', 'give', 'you', 'my', 'a', 'number', 'stated', 'you', 'know', 'i', ""don't"", 'ever', ""i'll"", 'just', 'logging', 'on', 'here', 'at', 'union', 'square']"
29,slide down and 250 West Portal some kind of for 1871 flag down to 51 some kind of 44,0.7213897109031677,"['slide', 'down', 'and', '250', 'west', 'portal', 'some', 'kind', 'of', 'for', '1871', 'flag', 'down', 'to', '51', 'some', 'kind', 'of', '44']"
30,Hearst from the owners that run you know there's a pencil number one of these calls hey bro favorable to you,0.8582780361175537,"['hearst', 'from', 'the', 'owners', 'that', 'run', 'you', 'know', ""there's"", 'a', 'pencil', 'number', 'one', 'of', 'these', 'calls', 'hey', 'bro', 'favorable', 'to', 'you']"
31,is an expression of your May 25 6 we can build that the beard flak jacket and pants red clothing and out of hand Pockets black back since I've never form the first wheel,0.7223138809204102,"['is', 'an', 'expression', 'of', 'your', 'may', '25', '6', 'we', 'can', 'build', 'that', 'the', 'beard', 'flak', 'jacket', 'and', 'pants', 'red', 'clothing', 'and', 'out', 'of', 'hand', 'pockets', 'black', 'back', 'since', ""i've"", 'never', 'form', 'the', 'first', 'wheel']"
32,selling it if anybody you know one 730 Long Bridge has a China Basin for the friend is speeding and he wants to eat a one we're waiting on further seven three years,0.8271711468696594,"['selling', 'it', 'if', 'anybody', 'you', 'know', 'one', '730', 'long', 'bridge', 'has', 'a', 'china', 'basin', 'for', 'the', 'friend', 'is', 'speeding', 'and', 'he', 'wants', 'to', 'eat', 'a', 'one', ""we're"", 'waiting', 'on', 'further', 'seven', 'three', 'years']"
33,Burr my Chad and be advised that my radio mic is not working so far I'm sorry I was late some new one on Door story,0.8545385003089905,"['burr', 'my', 'chad', 'and', 'be', 'advised', 'that', 'my', 'radio', 'mic', 'is', 'not', 'working', 'so', 'far', ""i'm"", 'sorry', 'i', 'was', 'late', 'some', 'new', 'one', 'on', 'door', 'story']"
34,my father's last clear no Mary's house with fucking banking on that final four the 3 out of 4 3 + 3 + 1 5 x 0.5 and this is one of the following four separate turn down turn Southbound on our from Center Ivy settings they lost visuals as subject possibly winning the,0.65391606092453,"['my', ""father's"", 'last', 'clear', 'no', ""mary's"", 'house', 'with', 'fucking', 'banking', 'on', 'that', 'final', 'four', 'the', '3', 'out', 'of', '4', '3', '+', '3', '+', '1', '5', 'x', '0.5', 'and', 'this', 'is', 'one', 'of', 'the', 'following', 'four', 'separate', 'turn', 'down', 'turn', 'southbound', 'on', 'our', 'from', 'center', 'ivy', 'settings', 'they', 'lost', 'visuals', 'as', 'subject', 'possibly', 'winning', 'the']"
35,they were supposed to die but that address or not yeah I'm going to take this Hospital farther than the other,0.842562347650528,"['they', 'were', 'supposed', 'to', 'die', 'but', 'that', 'address', 'or', 'not', 'yeah', ""i'm"", 'going', 'to', 'take', 'this', 'hospital', 'farther', 'than', 'the', 'other']"
36,David once again for the night 1910 we 1404 15th Street treat everyone sits out of can I just want to play for yeah but go back to the temporary place and the Seven Roberts Roberts zebra 211 should come back to black Infinity first like I was like a regular California place it's a paper plate but I have several Robert Roberts it was fabulous party Wright place we try it was he that does go back to a 2004 is that the entity that correct yeah okay,0.8180941343307495,"['david', 'once', 'again', 'for', 'the', 'night', '1910', 'we', '1404', '15th', 'street', 'treat', 'everyone', 'sits', 'out', 'of', 'can', 'i', 'just', 'want', 'to', 'play', 'for', 'yeah', 'but', 'go', 'back', 'to', 'the', 'temporary', 'place', 'and', 'the', 'seven', 'roberts', 'roberts', 'zebra', '211', 'should', 'come', 'back', 'to', 'black', 'infinity', 'first', 'like', 'i', 'was', 'like', 'a', 'regular', 'california', 'place', ""it's"", 'a', 'paper', 'plate', 'but', 'i', 'have', 'several', 'robert', 'roberts', 'it', 'was', 'fabulous', 'party', 'wright', 'place', 'we', 'try', 'it', 'was', 'he', 'that', 'does', 'go', 'back', 'to', 'a', '2004', 'is', 'that', 'the', 'entity', 'that', 'correct', 'yeah', 'okay']"
37,broadcast on all the victim's vehicle for the carjacking suspect last seen inside the vehicle was a LM 18 and when your gold 510 150 you,0.7426012754440308,"['broadcast', 'on', 'all', 'the', ""victim's"", 'vehicle', 'for', 'the', 'carjacking', 'suspect', 'last', 'seen', 'inside', 'the', 'vehicle', 'was', 'a', 'lm', '18', 'and', 'when', 'your', 'gold', '510', '150', 'you']"
38,Dorado lemon Adam code for handled can gennessee thank you Adam for the night 12 at 20 weeks well after this nice,0.8261013627052307,"['dorado', 'lemon', 'adam', 'code', 'for', 'handled', 'can', 'gennessee', 'thank', 'you', 'adam', 'for', 'the', 'night', '12', 'at', '20', 'weeks', 'well', 'after', 'this', 'nice']"
39,John 19 15 at 4 5 0 the Embarcadero and we're sufficient yes I'll cancel the one part 905 won 5-0 Lincoln 78 for a tour bus okay so I'm going to be in front of 945 Market or a 35 year old female conscious of breathing she's,0.8318209648132324,"['john', '19', '15', 'at', '4', '5', '0', 'the', 'embarcadero', 'and', ""we're"", 'sufficient', 'yes', ""i'll"", 'cancel', 'the', 'one', 'part', '905', 'won', '5-0', 'lincoln', '78', 'for', 'a', 'tour', 'bus', 'okay', 'so', ""i'm"", 'going', 'to', 'be', 'in', 'front', 'of', '945', 'market', 'or', 'a', '35', 'year', 'old', 'female', 'conscious', 'of', 'breathing', ""she's""]"
40,Craig was the outside Addison aerodyne on patreon Riverton rehab time with me,0.6129371921221415,"['craig', 'was', 'the', 'outside', 'addison', 'aerodyne', 'on', 'patreon', 'riverton', 'rehab', 'time', 'with', 'me']"
41,salmon and of an atom 730 is Long Bridge as friend is being dispatched like me off the top of 1970 he's sending a picture of his balcony at home and after picture of a nice as well the gate was another 100 Boyd 13 animated lemon Adams long bridge in China Basin and you don't want to send a good,0.8322284519672394,"['salmon', 'and', 'of', 'an', 'atom', '730', 'is', 'long', 'bridge', 'as', 'friend', 'is', 'being', 'dispatched', 'like', 'me', 'off', 'the', 'top', 'of', '1970', ""he's"", 'sending', 'a', 'picture', 'of', 'his', 'balcony', 'at', 'home', 'and', 'after', 'picture', 'of', 'a', 'nice', 'as', 'well', 'the', 'gate', 'was', 'another', '100', 'boyd', '13', 'animated', 'lemon', 'adams', 'long', 'bridge', 'in', 'china', 'basin', 'and', 'you', ""don't"", 'want', 'to', 'send', 'a', 'good']"
42,we on several 915 for block of 28th Tina you 279,0.7379697263240814,"['we', 'on', 'several', '915', 'for', 'block', 'of', '28th', 'tina', 'you', '279']"
43,McRae 2600 coffee 77 919 she was devastated,0.7338978052139282,"['mcrae', '2600', 'coffee', '77', '919', 'she', 'was', 'devastated']"
44,Vine is your sfpd on-premise Dawn parked in the north lot for the Bungalows it's the bomb squads I'm assuming they're probably here for a class that just in case anybody calls in,0.8540913462638855,"['vine', 'is', 'your', 'sfpd', 'on-premise', 'dawn', 'parked', 'in', 'the', 'north', 'lot', 'for', 'the', 'bungalows', ""it's"", 'the', 'bomb', 'squads', ""i'm"", 'assuming', ""they're"", 'probably', 'here', 'for', 'a', 'class', 'that', 'just', 'in', 'case', 'anybody', 'calls', 'in']"
45,Argent we must be an informational individual almost hit the RPM was grabbing a high rate of speed signal the dark great has lessons on white slave driver than white males 30s 40s and unloading description laughing driving on,0.8421597480773926,"['argent', 'we', 'must', 'be', 'an', 'informational', 'individual', 'almost', 'hit', 'the', 'rpm', 'was', 'grabbing', 'a', 'high', 'rate', 'of', 'speed', 'signal', 'the', 'dark', 'great', 'has', 'lessons', 'on', 'white', 'slave', 'driver', 'than', 'white', 'males', '30s', '40s', 'and', 'unloading', 'description', 'laughing', 'driving', 'on']"
46,5th there's anyone well the federal can you put me on the night at 300,0.8531299233436584,"['5th', ""there's"", 'anyone', 'well', 'the', 'federal', 'can', 'you', 'put', 'me', 'on', 'the', 'night', 'at', '300']"
47,thank you Lola Lola 1826 three the city crappy thank you very much mr. high-camp further David once again take this 800 prior to 1934 this is between 19th and 20th of yelling at us know and they 45 years old Felton and Adams 70 of them,0.7946331799030304,"['thank', 'you', 'lola', 'lola', '1826', 'three', 'the', 'city', 'crappy', 'thank', 'you', 'very', 'much', 'mr.', 'high-camp', 'further', 'david', 'once', 'again', 'take', 'this', '800', 'prior', 'to', '1934', 'this', 'is', 'between', '19th', 'and', '20th', 'of', 'yelling', 'at', 'us', 'know', 'and', 'they', '45', 'years', 'old', 'felton', 'and', 'adams', '70', 'of', 'them']"
48,kind of locate personal phone number for the property owner here they've apparently they live in a different address if I give you that address number could you run our first piece is called somebody number is going to be for one,0.8772990107536316,"['kind', 'of', 'locate', 'personal', 'phone', 'number', 'for', 'the', 'property', 'owner', 'here', ""they've"", 'apparently', 'they', 'live', 'in', 'a', 'different', 'address', 'if', 'i', 'give', 'you', 'that', 'address', 'number', 'could', 'you', 'run', 'our', 'first', 'piece', 'is', 'called', 'somebody', 'number', 'is', 'going', 'to', 'be', 'for', 'one']"
49,Rosie both parties are calling is 377 trip from 16th and 17th one party in a blue Mazda,0.8291357755661011,"['rosie', 'both', 'parties', 'are', 'calling', 'is', '377', 'trip', 'from', '16th', 'and', '17th', 'one', 'party', 'in', 'a', 'blue', 'mazda']"
50,Teddy is coming out probably got him here to show me an apartment 6 call back when she gets this okay sure she can go to the station to make the report you can show it to me,0.8274345397949219,"['teddy', 'is', 'coming', 'out', 'probably', 'got', 'him', 'here', 'to', 'show', 'me', 'an', 'apartment', '6', 'call', 'back', 'when', 'she', 'gets', 'this', 'okay', 'sure', 'she', 'can', 'go', 'to', 'the', 'station', 'to', 'make', 'the', 'report', 'you', 'can', 'show', 'it', 'to', 'me']"
51,that's about 10 minutes rather thank you,0.7688390016555786,"[""that's"", 'about', '10', 'minutes', 'rather', 'thank', 'you']"
52,Missouri asked you guys go comfortable going to use on This research to Safeway Davies and around yeah Ten-Four so yeah works for me good effort though wheat up a couple of those on our way back from the district three out of no 170 a checksum of the residential areas north of the art area west of division Castro it was the UGL at there's also all good he'll be back up working out of town Brown just heading to be father,0.7861001094182333,"['missouri', 'asked', 'you', 'guys', 'go', 'comfortable', 'going', 'to', 'use', 'on', 'this', 'research', 'to', 'safeway', 'davies', 'and', 'around', 'yeah', 'ten-four', 'so', 'yeah', 'works', 'for', 'me', 'good', 'effort', 'though', 'wheat', 'up', 'a', 'couple', 'of', 'those', 'on', 'our', 'way', 'back', 'from', 'the', 'district', 'three', 'out', 'of', 'no', '170', 'a', 'checksum', 'of', 'the', 'residential', 'areas', 'north', 'of', 'the', 'art', 'area', 'west', 'of', 'division', 'castro', 'it', 'was', 'the', 'ugl', 'at', ""there's"", 'also', 'all', 'good', ""he'll"", 'be', 'back', 'up', 'working', 'out', 'of', 'town', 'brown', 'just', 'heading', 'to', 'be', 'father']"
53,not because of the police came and started harassing here informational southern part car in critique,0.8514423966407776,"['not', 'because', 'of', 'the', 'police', 'came', 'and', 'started', 'harassing', 'here', 'informational', 'southern', 'part', 'car', 'in', 'critique']"
54,Sunset Cena on your I was on a Playboy William Paul's 93 5 or something like 32 Mission expired November 15 2000 18 July 2012 Infiniti to Elizabeth Christina whiner out of Meza a Arizona fired Capri Baker can you put this on there,0.8740574717521667,"['sunset', 'cena', 'on', 'your', 'i', 'was', 'on', 'a', 'playboy', 'william', ""paul's"", '93', '5', 'or', 'something', 'like', '32', 'mission', 'expired', 'november', '15', '2000', '18', 'july', '2012', 'infiniti', 'to', 'elizabeth', 'christina', 'whiner', 'out', 'of', 'meza', 'a', 'arizona', 'fired', 'capri', 'baker', 'can', 'you', 'put', 'this', 'on', 'there']"
55,every night I go traffic I don't want five atoms coming out of 7 section 8,0.7853763699531555,"['every', 'night', 'i', 'go', 'traffic', 'i', ""don't"", 'want', 'five', 'atoms', 'coming', 'out', 'of', '7', 'section', '8']"
56,Annie had a plea to run over the air has been replaced by William Paul 9335,0.8186063766479492,"['annie', 'had', 'a', 'plea', 'to', 'run', 'over', 'the', 'air', 'has', 'been', 'replaced', 'by', 'william', 'paul', '9335']"
57,Iris black males about 30 years old bull headed passing wearing a black hole at 10 top blue jeans know about divorce would like me to my computer,0.8494970798492432,"['iris', 'black', 'males', 'about', '30', 'years', 'old', 'bull', 'headed', 'passing', 'wearing', 'a', 'black', 'hole', 'at', '10', 'top', 'blue', 'jeans', 'know', 'about', 'divorce', 'would', 'like', 'me', 'to', 'my', 'computer']"
58,14100 equipment khakis interpreter for the day 4519 pulses and surgery if you have IV also have a a 3586 and nice and full support for one day that it's 98 dozen a dozen for car in 4586 - Folsom,0.7673027515411377,"['14100', 'equipment', 'khakis', 'interpreter', 'for', 'the', 'day', '4519', 'pulses', 'and', 'surgery', 'if', 'you', 'have', 'iv', 'also', 'have', 'a', 'a', '3586', 'and', 'nice', 'and', 'full', 'support', 'for', 'one', 'day', 'that', ""it's"", '98', 'dozen', 'a', 'dozen', 'for', 'car', 'in', '4586', '-', 'folsom']"
59,0 7 5 8 radio number 75270 to my vehicle Boy William 1040 for example boy will get 1 0 4 4 so,0.8072893023490906,"['0', '7', '5', '8', 'radio', 'number', '75270', 'to', 'my', 'vehicle', 'boy', 'william', '1040', 'for', 'example', 'boy', 'will', 'get', '1', '0', '4', '4', 'so']"
60,Matthew Bryant on California license plate Mary Lincoln George 105 come back to a black BMW SUV for door walk his vision we have our own wine and coffee 50/50 right,0.8740386962890625,"['matthew', 'bryant', 'on', 'california', 'license', 'plate', 'mary', 'lincoln', 'george', '105', 'come', 'back', 'to', 'a', 'black', 'bmw', 'suv', 'for', 'door', 'walk', 'his', 'vision', 'we', 'have', 'our', 'own', 'wine', 'and', 'coffee', '50/50', 'right']"
61,performs water pipe that is has were here IWC idea because it's wonderful wonderful surgically a three-foot long silver pipe from the southwest corner discuss it with a pipe is a white nail or Latin meal while head with that these 30 to 40 years old black leather jacket blue jeans the 100 in technology,0.8215647339820862,"['performs', 'water', 'pipe', 'that', 'is', 'has', 'were', 'here', 'iwc', 'idea', 'because', ""it's"", 'wonderful', 'wonderful', 'surgically', 'a', 'three-foot', 'long', 'silver', 'pipe', 'from', 'the', 'southwest', 'corner', 'discuss', 'it', 'with', 'a', 'pipe', 'is', 'a', 'white', 'nail', 'or', 'latin', 'meal', 'while', 'head', 'with', 'that', 'these', '30', 'to', '40', 'years', 'old', 'black', 'leather', 'jacket', 'blue', 'jeans', 'the', '100', 'in', 'technology']"
62,only for the 400 block of Golden Gate and around that area looks like the teamsters are causing some 586,0.7484689950942993,"['only', 'for', 'the', '400', 'block', 'of', 'golden', 'gate', 'and', 'around', 'that', 'area', 'looks', 'like', 'the', 'teamsters', 'are', 'causing', 'some', '586']"
63,I have seen their tippy and semi trucks 97 for the demo of walking emergency vehicles and unable to get out and they're requesting PA to assist any complications are exactly,0.7509053647518158,"['i', 'have', 'seen', 'their', 'tippy', 'and', 'semi', 'trucks', '97', 'for', 'the', 'demo', 'of', 'walking', 'emergency', 'vehicles', 'and', 'unable', 'to', 'get', 'out', 'and', ""they're"", 'requesting', 'pa', 'to', 'assist', 'any', 'complications', 'are', 'exactly']"
64,California AIDS Adam Ocean or six seven zero a black Nissan Altima four-door,0.8126505613327026,"['california', 'aids', 'adam', 'ocean', 'or', 'six', 'seven', 'zero', 'a', 'black', 'nissan', 'altima', 'four-door']"
65,the firefighter block on casserole pussy imagine sending off children's hospital with,0.7694569230079651,"['the', 'firefighter', 'block', 'on', 'casserole', 'pussy', 'imagine', 'sending', 'off', ""children's"", 'hospital', 'with']"
66,Regent for did you hear about that 4630 building no I did not go on the board after security called it enforces an ongoing problem with us like female the same lady that's right where were there in the wheelchair that's occur building or if you're very building all right so 22203 put me on that they're not on our Smart Security earned him love,0.8073599338531494,"['regent', 'for', 'did', 'you', 'hear', 'about', 'that', '4630', 'building', 'no', 'i', 'did', 'not', 'go', 'on', 'the', 'board', 'after', 'security', 'called', 'it', 'enforces', 'an', 'ongoing', 'problem', 'with', 'us', 'like', 'female', 'the', 'same', 'lady', ""that's"", 'right', 'where', 'were', 'there', 'in', 'the', 'wheelchair', ""that's"", 'occur', 'building', 'or', 'if', ""you're"", 'very', 'building', 'all', 'right', 'so', '22203', 'put', 'me', 'on', 'that', ""they're"", 'not', 'on', 'our', 'smart', 'security', 'earned', 'him', 'love']"
67,so just if you want to put that information on was he had intense work,0.8057917356491089,"['so', 'just', 'if', 'you', 'want', 'to', 'put', 'that', 'information', 'on', 'was', 'he', 'had', 'intense', 'work']"
68,Rose 3D print 0 B 0 to B has Twin Dragon could you nothing come of Nissan are oh Maria Edward 4 Walter,0.7995284795761108,"['rose', '3d', 'print', '0', 'b', '0', 'to', 'b', 'has', 'twin', 'dragon', 'could', 'you', 'nothing', 'come', 'of', 'nissan', 'are', 'oh', 'maria', 'edward', '4', 'walter']"
69,outings for Hannity good that are in 1999 you happy marriage children,0.7738068103790283,"['outings', 'for', 'hannity', 'good', 'that', 'are', 'in', '1999', 'you', 'happy', 'marriage', 'children']"
70,Gladys little to Minnesota support and follow up Franklin Street I give you a cat number for my priors,0.7493429780006409,"['gladys', 'little', 'to', 'minnesota', 'support', 'and', 'follow', 'up', 'franklin', 'street', 'i', 'give', 'you', 'a', 'cat', 'number', 'for', 'my', 'priors']"
71,but code form different ones 1400 block of bulk socks and one no mercy now that I've added 12 atom 585 fire here are the time you guys Otis all bad on Monday one with a 5/8 of our prior and tell them that year 2030 and Leavenworth California license plate 6 Charles Robert Roberts took six three to come back to a black Nissan Altima to reinforce division for now we have our own,0.742920458316803,"['but', 'code', 'form', 'different', 'ones', '1400', 'block', 'of', 'bulk', 'socks', 'and', 'one', 'no', 'mercy', 'now', 'that', ""i've"", 'added', '12', 'atom', '585', 'fire', 'here', 'are', 'the', 'time', 'you', 'guys', 'otis', 'all', 'bad', 'on', 'monday', 'one', 'with', 'a', '5/8', 'of', 'our', 'prior', 'and', 'tell', 'them', 'that', 'year', '2030', 'and', 'leavenworth', 'california', 'license', 'plate', '6', 'charles', 'robert', 'roberts', 'took', 'six', 'three', 'to', 'come', 'back', 'to', 'a', 'black', 'nissan', 'altima', 'to', 'reinforce', 'division', 'for', 'now', 'we', 'have', 'our', 'own']"
72,radio shop testing copy radio,0.7655967473983765,"['radio', 'shop', 'testing', 'copy', 'radio']"
73,empty lot on these Shores Mason guys rolled around and so there's a 220,0.7394411861896515,"['empty', 'lot', 'on', 'these', 'shores', 'mason', 'guys', 'rolled', 'around', 'and', 'so', ""there's"", 'a', '220']"
74,for 390 voltage across the hide in marking the language barrier was a,0.8026239275932312,"['for', '390', 'voltage', 'across', 'the', 'hide', 'in', 'marking', 'the', 'language', 'barrier', 'was', 'a']"
75,Pacific butter deal because sleep is that the phrase don't,0.5805200189352036,"['pacific', 'butter', 'deal', 'because', 'sleep', 'is', 'that', 'the', 'phrase', ""don't""]"
76,40th the Safeway Taraval 730 Taraval class of 17th and 18th is possibly related and that's because of the GMA,0.7818451523780823,"['40th', 'the', 'safeway', 'taraval', '730', 'taraval', 'class', 'of', '17th', 'and', '18th', 'is', 'possibly', 'related', 'and', ""that's"", 'because', 'of', 'the', 'gma']"
